province,year,epi_week,cases,temp_mean_c_synthetic,precip_mm_synthetic,risk_level_rule_based
Chimborazo,2025,21,6,15.7,112.9,bajo
Chimborazo,2025,22,7,16,89.7,bajo
Chimborazo,2025,23,6,17.7,74,bajo
Chimborazo,2025,24,6,14.5,86.8,bajo
Cotopaxi,2025,1,2,18.3,67.6,bajo
Cotopaxi,2025,2,4,17.1,49.2,bajo
Cotopaxi,2025,3,4,20.4,94.1,bajo
Cotopaxi,2025,4,4,17.9,73.2,bajo
Cotopaxi,2025,5,8,19.3,107,bajo
Cotopaxi,2025,6,6,18.3,116.3,bajo
Cotopaxi,2025,7,7,20.4,121.7,bajo
Cotopaxi,2025,8,8,19.5,143.9,bajo
Cotopaxi,2025,9,13,17.1,153.7,bajo
Cotopaxi,2025,10,12,18.9,121.9,bajo
Cotopaxi,2025,11,14,18.5,169.1,bajo
Cotopaxi,2025,12,15,17.8,166.1,bajo
Cotopaxi,2025,13,18,18.2,133.9,bajo
Cotopaxi,2025,14,17,17.5,143.1,bajo
Cotopaxi,2025,15,17,17.4,164.6,bajo
Cotopaxi,2025,16,22,19.4,119.3,medio
Cotopaxi,2025,17,14,17.4,128.1,bajo
Cotopaxi,2025,18,21,20.9,111.9,medio
Cotopaxi,2025,19,14,19.6,141.6,bajo
Cotopaxi,2025,20,18,19.2,138.2,bajo
Cotopaxi,2025,21,10,14.4,122.5,bajo
Cotopaxi,2025,22,6,16.7,115.6,bajo
Cotopaxi,2025,23,8,16.9,88.5,bajo
Cotopaxi,2025,24,5,16.7,62.2,bajo
El Oro,2025,1,24,30.1,79,medio
El Oro,2025,2,29,31.7,134.9,alto
El Oro,2025,3,26,30.6,148.4,alto
El Oro,2025,4,44,28.7,140.1,alto
El Oro,2025,5,53,31.5,180.5,alto
El Oro,2025,6,58,28.8,190.3,alto
El Oro,2025,7,73,30.2,189.9,alto
El Oro,2025,8,79,29.3,200.1,alto
El Oro,2025,9,90,31.9,241.5,alto
El Oro,2025,10,80,31.6,234.7,alto
El Oro,2025,11,75,30,250.5,alto
El Oro,2025,12,87,28.9,259.5,alto
El Oro,2025,13,153,29.9,232.7,alto
El Oro,2025,14,166,30.6,240.8,alto
El Oro,2025,15,146,28.8,254.6,alto
El Oro,2025,16,125,30.1,245.1,alto
El Oro,2025,17,139,28.1,233.2,alto
El Oro,2025,18,140,28.6,239.7,alto
El Oro,2025,19,162,29.2,185.8,alto
El Oro,2025,20,85,31.6,192.4,alto
El Oro,2025,21,40,26.4,180.6,alto
El Oro,2025,22,61,25.3,171.4,alto
El Oro,2025,23,52,26.9,136,alto
El Oro,2025,24,53,25,145.4,alto
Esmeraldas,2025,1,22,29,115.7,alto
Esmeraldas,2025,2,33,30.6,112.9,alto
Esmeraldas,2025,3,35,30,140.1,alto
Esmeraldas,2025,4,31,29.1,167.6,alto
Esmeraldas,2025,5,31,29.3,166,alto
Esmeraldas,2025,6,49,28.4,206,alto
Esmeraldas,2025,7,74,28,208.1,alto
Esmeraldas,2025,8,45,29.9,243,alto
Esmeraldas,2025,9,88,31.6,231.2,alto
Esmeraldas,2025,10,63,30.9,243.6,alto
Esmeraldas,2025,11,77,29.4,250.7,alto
Esmeraldas,2025,12,101,28.7,273.4,alto
Esmeraldas,2025,13,97,30.7,232.4,alto
Esmeraldas,2025,14,163,28.8,248.5,alto
Esmeraldas,2025,15,105,28.8,242.6,alto
Esmeraldas,2025,16,109,28.4,235.5,alto
Esmeraldas,2025,17,130,29.1,248.3,alto
Esmeraldas,2025,18,120,28.8,201.7,alto
Esmeraldas,2025,19,115,29,217,alto
Esmeraldas,2025,20,143,31.4,214.9,alto
Esmeraldas,2025,21,41,26.7,166.7,alto
Esmeraldas,2025,22,60,26.5,143.3,alto
Esmeraldas,2025,23,45,25.6,115.9,medio
Esmeraldas,2025,24,34,25.5,105.6,medio
Galapagos,2025,1,3,17.1,42.3,bajo
Galapagos,2025,2,4,20.3,96.1,bajo
Galapagos,2025,3,5,20,63.3,bajo
Galapagos,2025,4,6,18,114.5,bajo
Galapagos,2025,5,5,19.8,120.6,bajo
Galapagos,2025,6,6,19.2,102.1,bajo
Galapagos,2025,7,11,17.8,129.7,bajo
Galapagos,2025,8,11,17.3,124.1,bajo
Galapagos,2025,9,9,19.3,156.2,bajo
Galapagos,2025,10,13,17.6,146.5,bajo
Galapagos,2025,11,13,17.7,166,bajo
Galapagos,2025,12,12,17.4,135.3,bajo
Galapagos,2025,13,12,18.2,125.2,bajo
Galapagos,2025,14,19,18,156.7,bajo
Galapagos,2025,15,17,18.3,150.4,bajo
Galapagos,2025,16,19,20.8,127.4,bajo
Galapagos,2025,17,20,19.2,158.4,medio
Galapagos,2025,18,14,19.2,114.4,bajo
Galapagos,2025,19,15,18.3,116.3,bajo
Galapagos,2025,20,17,18.4,135.1,bajo
Galapagos,2025,21,8,18,91.6,bajo
Galapagos,2025,22,8,16.8,107,bajo
Galapagos,2025,23,9,17.4,102.1,bajo
Galapagos,2025,24,5,17.7,98,bajo
Guayas,2025,1,19,31.8,104.6,alto
Guayas,2025,2,28,30.1,142.9,alto
Guayas,2025,3,40,31.2,155.5,alto
Guayas,2025,4,40,28.8,162.9,alto
Guayas,2025,5,33,28.4,185.8,alto
Guayas,2025,6,58,31.8,194.6,alto
Guayas,2025,7,42,28.7,210,alto
Guayas,2025,8,61,28.6,202.6,alto
Guayas,2025,9,60,29.4,243,alto
Guayas,2025,10,97,28.5,251.9,alto
Guayas,2025,11,65,31.8,250.1,alto
Guayas,2025,12,122,28.8,258.3,alto
Guayas,2025,13,128,29.3,247.2,alto
Guayas,2025,14,96,30.8,237.7,alto
Guayas,2025,15,133,31.2,250.6,alto
Guayas,2025,16,119,31.9,256.8,alto
Guayas,2025,17,169,30.8,227.3,alto
Guayas,2025,18,150,29.4,232.9,alto
Guayas,2025,19,101,29.5,194.8,alto
Guayas,2025,20,130,28.7,183.8,alto
Guayas,2025,21,52,25.6,171,alto
Guayas,2025,22,46,28,177.6,alto
Guayas,2025,23,49,26.5,124.6,alto
Guayas,2025,24,45,26.7,133,alto
Imbabura,2025,1,2,21,80.3,bajo
Imbabura,2025,2,4,17.5,50.7,bajo
Imbabura,2025,3,4,18.6,84.6,bajo
Imbabura,2025,4,5,17.9,102.5,bajo
Imbabura,2025,5,6,17.1,125.2,bajo
Imbabura,2025,6,8,17.8,123.4,bajo
Imbabura,2025,7,10,17.7,117.6,bajo
Imbabura,2025,8,12,18.6,128.8,bajo
Imbabura,2025,9,12,17.9,127.5,bajo
Imbabura,2025,10,12,17.5,134.5,bajo
Imbabura,2025,11,15,18.9,170.6,bajo
Imbabura,2025,12,17,20,156.6,bajo
Imbabura,2025,13,21,18.2,163.2,medio
Imbabura,2025,14,21,19.3,161.3,medio
Imbabura,2025,15,22,20.9,171.7,medio
Imbabura,2025,16,18,20.8,165.3,bajo
Imbabura,2025,17,22,20.5,163,medio
Imbabura,2025,18,19,17.8,135.7,bajo
Imbabura,2025,19,13,18.3,104.3,bajo
Imbabura,2025,20,19,19.6,139.7,bajo
Imbabura,2025,21,6,16.6,112.9,bajo
Imbabura,2025,22,7,16.7,94.9,bajo
Imbabura,2025,23,6,14.7,106.7,bajo
Imbabura,2025,24,7,16.3,69.2,bajo
Loja,2025,1,8,18.8,46.3,bajo
Loja,2025,2,11,20.4,55.9,bajo
Loja,2025,3,9,18.1,106.7,bajo
Loja,2025,4,11,17.6,119.4,bajo
Loja,2025,5,15,20.5,114.7,bajo
Loja,2025,6,26,20.5,113.1,medio
Loja,2025,7,25,19.3,135.5,medio
Loja,2025,8,29,18.5,152.5,medio
Loja,2025,9,30,19.8,134.9,medio
Loja,2025,10,34,20.9,153.3,medio
Loja,2025,11,35,19.4,128.6,medio
Loja,2025,12,34,17.1,131.5,medio
Loja,2025,13,45,19.4,132.9,medio
Loja,2025,14,52,20.3,153.5,alto
Loja,2025,15,38,17.2,164.3,medio
Loja,2025,16,43,19.9,136,medio
Loja,2025,17,53,18,139.5,alto
Loja,2025,18,47,17.2,145.8,medio
Loja,2025,19,39,19.2,125.8,medio
Loja,2025,20,43,17.7,100.5,medio
Loja,2025,21,18,15.2,90.7,bajo
Loja,2025,22,20,15.5,117.4,medio
Loja,2025,23,18,17.3,101.7,bajo
Loja,2025,24,17,14.1,64.6,bajo
Los Rios,2025,1,22,29,121.7,alto
Los Rios,2025,2,22,30.9,99.9,medio
Los Rios,2025,3,33,30.4,135.6,alto
Los Rios,2025,4,47,28.9,149.5,alto
Los Rios,2025,5,50,28.1,162.2,alto
Los Rios,2025,6,48,29.8,194.1,alto
Los Rios,2025,7,54,31.7,216,alto
Los Rios,2025,8,49,31.2,198.4,alto
Los Rios,2025,9,90,30.3,212,alto
Los Rios,2025,10,70,30.4,227.4,alto
Los Rios,2025,11,106,29.3,265.4,alto
Los Rios,2025,12,108,28.6,246.7,alto
Los Rios,2025,13,90,30,242.1,alto
Los Rios,2025,14,158,31.2,272.4,alto
Los Rios,2025,15,120,29.8,258.5,alto
Los Rios,2025,16,162,31.6,221.2,alto
Los Rios,2025,17,158,30.1,231.5,alto
Los Rios,2025,18,141,31,210.3,alto
Los Rios,2025,19,145,28,228.6,alto
Los Rios,2025,20,125,30.8,207.4,alto
Los Rios,2025,21,50,26.1,167.8,alto
Los Rios,2025,22,36,25.4,180.9,medio
Los Rios,2025,23,49,27.5,117.6,alto
Los Rios,2025,24,45,26.1,99.3,medio
Manabi,2025,1,19,29.4,108.2,alto
Manabi,2025,2,23,30.7,119.3,alto
Manabi,2025,3,34,30,160.3,alto
Manabi,2025,4,44,28.7,151.7,alto
Manabi,2025,5,35,28.7,164.1,alto
Manabi,2025,6,43,31.6,168,alto
Manabi,2025,7,53,31,184,alto
Manabi,2025,8,45,28.7,232.7,alto
Manabi,2025,9,72,30.2,234.9,alto
Manabi,2025,10,73,29.2,261.1,alto
Manabi,2025,11,68,31.5,232.1,alto
Manabi,2025,12,129,30.7,268.7,alto
Manabi,2025,13,101,28.3,241.6,alto
Manabi,2025,14,138,30.3,271.6,alto
Manabi,2025,15,128,30,229.5,alto
Manabi,2025,16,99,29.4,236.4,alto
Manabi,2025,17,171,29.9,213,alto
Manabi,2025,18,129,29.4,230.4,alto
Manabi,2025,19,93,29.3,209.5,alto
Manabi,2025,20,95,31.5,171.3,alto
Manabi,2025,21,39,26.6,187,alto
Manabi,2025,22,48,26.2,177.5,alto
Manabi,2025,23,49,25,164,medio
Manabi,2025,24,55,28.7,117.5,alto
Morona Santiago,2025,1,16,27.5,160.6,alto
Morona Santiago,2025,2,31,30.2,183.4,alto
Morona Santiago,2025,3,35,27.3,208.1,alto
Morona Santiago,2025,4,30,28.4,255.2,alto
Morona Santiago,2025,5,48,27.1,245.4,alto
Morona Santiago,2025,6,53,29.1,299,alto
Morona Santiago,2025,7,52,28.1,286.7,alto
Morona Santiago,2025,8,60,29.8,329.1,alto
Morona Santiago,2025,9,55,27.8,346.7,alto
Morona Santiago,2025,10,53,27.8,360.2,alto
Morona Santiago,2025,11,86,27.5,340.3,alto
Morona Santiago,2025,12,120,28.4,357.8,alto
Morona Santiago,2025,13,112,28.4,333.3,alto
Morona Santiago,2025,14,157,29,337.8,alto
Morona Santiago,2025,15,137,28,342,alto
Morona Santiago,2025,16,162,30.9,316.9,alto
Morona Santiago,2025,17,102,27.5,333.4,alto
Morona Santiago,2025,18,159,27.4,312.5,alto
Morona Santiago,2025,19,120,28.4,275.2,alto
Morona Santiago,2025,20,102,27.9,292.5,alto
Morona Santiago,2025,21,57,24.8,285.6,alto
Morona Santiago,2025,22,46,26.7,225.5,alto
Morona Santiago,2025,23,50,24.2,233.3,alto
Morona Santiago,2025,24,52,27.1,180.3,alto
Napo,2025,1,14,28.7,172.2,alto
Napo,2025,2,18,27.2,179.5,alto
Napo,2025,3,23,30.3,199.9,alto
Napo,2025,4,40,27.6,253.8,alto
Napo,2025,5,33,28.8,261.9,alto
Napo,2025,6,62,27.5,294.5,alto
Napo,2025,7,55,29.5,322.4,alto
Napo,2025,8,50,28.3,315.9,alto
Napo,2025,9,67,29.6,345.9,alto
Napo,2025,10,85,27.2,332.9,alto
Napo,2025,11,87,30.7,347.6,alto
Napo,2025,12,135,29.7,360.7,alto
Napo,2025,13,136,29.9,343,alto
Napo,2025,14,105,29,365.4,alto
Napo,2025,15,153,28.6,348.7,alto
Napo,2025,16,159,30.5,313.7,alto
Napo,2025,17,154,28.2,331.4,alto
Napo,2025,18,172,27.5,322.8,alto
Napo,2025,19,166,30,309,alto
Napo,2025,20,96,29.4,260.9,alto
Napo,2025,21,61,24.3,249.6,alto
Napo,2025,22,52,26.4,246.3,alto
Napo,2025,23,56,26.4,222,alto
Napo,2025,24,54,26,198,alto
Orellana,2025,1,15,29.3,192.6,alto
Orellana,2025,2,30,28.6,211.7,alto
Orellana,2025,3,40,27.6,199.3,alto
Orellana,2025,4,30,27.9,226.1,alto
Orellana,2025,5,48,27.2,262.6,alto
Orellana,2025,6,65,27.2,279.2,alto
Orellana,2025,7,55,29.4,296.5,alto
Orellana,2025,8,65,27.7,335.1,alto
Orellana,2025,9,76,27.7,315.7,alto
Orellana,2025,10,63,30.9,358.9,alto
Orellana,2025,11,99,27.2,335.3,alto
Orellana,2025,12,96,30.1,365.7,alto
Orellana,2025,13,135,29.3,370.9,alto
Orellana,2025,14,107,30.5,371.7,alto
Orellana,2025,15,115,27.4,338.9,alto
Orellana,2025,16,114,29.6,343.4,alto
Orellana,2025,17,141,30.8,306.2,alto
Orellana,2025,18,146,28.6,298.2,alto
Orellana,2025,19,162,28.8,290.5,alto
Orellana,2025,20,144,28.9,304.1,alto
Orellana,2025,21,56,27.8,260.2,alto
Orellana,2025,22,36,24.9,229.7,medio
Orellana,2025,23,41,27,233.8,alto
Orellana,2025,24,53,27.8,193.8,alto
Pastaza,2025,1,20,27.9,149.3,alto
Pastaza,2025,2,32,27.7,190.5,alto
Pastaza,2025,3,40,27.1,200.4,alto
Pastaza,2025,4,46,27.8,249.4,alto
Pastaza,2025,5,35,27.6,258.1,alto
Pastaza,2025,6,43,28,296.9,alto
Pastaza,2025,7,57,30.7,286.5,alto
Pastaza,2025,8,59,29.4,297.3,alto
Pastaza,2025,9,60,29.8,350.1,alto
Pastaza,2025,10,80,29.5,315.5,alto
Pastaza,2025,11,108,30.2,364.1,alto
Pastaza,2025,12,92,29.6,366.8,alto
Pastaza,2025,13,115,29.2,344.2,alto
Pastaza,2025,14,146,30.9,367.2,alto
Pastaza,2025,15,137,28.2,356.6,alto
Pastaza,2025,16,119,30.8,333.4,alto
Pastaza,2025,17,128,28.5,318.4,alto
Pastaza,2025,18,115,30.8,332.6,alto
Pastaza,2025,19,115,27.4,297.2,alto
Pastaza,2025,20,156,28,283,alto
Pastaza,2025,21,54,27.3,261.2,alto
Pastaza,2025,22,57,24.9,253,alto
Pastaza,2025,23,55,27.4,229.4,alto
Pastaza,2025,24,34,24.7,211.5,medio
Pichincha,2025,1,2,17.2,78.5,bajo
Pichincha,2025,2,3,19.5,96.4,bajo
Pichincha,2025,3,5,17.8,105.6,bajo
Pichincha,2025,4,7,18,76.6,bajo
Pichincha,2025,5,6,17.5,130.2,bajo
Pichincha,2025,6,6,18.2,137,bajo
Pichincha,2025,7,7,17.7,117.7,bajo
Pichincha,2025,8,9,17.5,143,bajo
Pichincha,2025,9,10,19.5,133.7,bajo
Pichincha,2025,10,13,17.3,160.5,bajo
Pichincha,2025,11,13,20.5,144.1,bajo
Pichincha,2025,12,14,18.7,155.4,bajo
Pichincha,2025,13,20,17.8,165.1,medio
Pichincha,2025,14,13,19.3,144,bajo
Pichincha,2025,15,20,20.9,163.1,medio
Pichincha,2025,16,13,20.2,143.1,bajo
Pichincha,2025,17,18,19,155,bajo
Pichincha,2025,18,18,18.9,119.7,bajo
Pichincha,2025,19,17,17.6,108,bajo
Pichincha,2025,20,19,20.7,141,bajo
Pichincha,2025,21,6,14.9,89.5,bajo
Pichincha,2025,22,8,15.9,74.6,bajo
Pichincha,2025,23,7,14.3,67.2,bajo
Pichincha,2025,24,8,15.8,88.4,bajo
Santa Elena,2025,1,15,31.6,88.3,medio
Santa Elena,2025,2,27,30.1,100.7,alto
Santa Elena,2025,3,31,28.7,154,alto
Santa Elena,2025,4,27,29,168.8,alto
Santa Elena,2025,5,51,28.8,165.8,alto
Santa Elena,2025,6,36,29.7,215.3,alto
Santa Elena,2025,7,49,29.4,188.1,alto
Santa Elena,2025,8,78,29.5,204.8,alto
Santa Elena,2025,9,62,31.7,235.9,alto
Santa Elena,2025,10,96,29.7,252.3,alto
Santa Elena,2025,11,78,29.1,224.6,alto
Santa Elena,2025,12,112,31.6,273.5,alto
Santa Elena,2025,13,111,30.9,269.8,alto
Santa Elena,2025,14,97,28.6,234.3,alto
Santa Elena,2025,15,102,30.4,238,alto
Santa Elena,2025,16,164,30,251.6,alto
Santa Elena,2025,17,152,29,246.2,alto
Santa Elena,2025,18,100,29.1,242.5,alto
Santa Elena,2025,19,125,28,211.8,alto
Santa Elena,2025,20,100,31.3,174.9,alto
Santa Elena,2025,21,57,25.8,152.9,alto
Santa Elena,2025,22,49,26.9,166.8,alto
Santa Elena,2025,23,59,25.6,137.9,alto
Santa Elena,2025,24,43,27.3,137.1,alto
Santo Domingo,2025,1,16,28.2,76.8,bajo
Santo Domingo,2025,2,25,30.6,115.1,alto
Santo Domingo,2025,3,36,31.7,127.7,alto
Santo Domingo,2025,4,35,29.2,135.2,alto
Santo Domingo,2025,5,53,28.9,158,alto
Santo Domingo,2025,6,51,28.3,216.8,alto
Santo Domingo,2025,7,69,29.1,232.2,alto
Santo Domingo,2025,8,52,29.1,224.8,alto
Santo Domingo,2025,9,50,29.8,215.2,alto
Santo Domingo,2025,10,87,29,224.2,alto
Santo Domingo,2025,11,107,28.2,222.3,alto
Santo Domingo,2025,12,108,29.2,230.5,alto
Santo Domingo,2025,13,113,29.7,269.4,alto
Santo Domingo,2025,14,155,31.3,259.9,alto
Santo Domingo,2025,15,115,31.6,222.8,alto
Santo Domingo,2025,16,101,28.4,229,alto
Santo Domingo,2025,17,150,31.2,249.5,alto
Santo Domingo,2025,18,132,29.9,205.1,alto
Santo Domingo,2025,19,161,29.9,217,alto
Santo Domingo,2025,20,114,29.1,206,alto
Santo Domingo,2025,21,45,26.1,193.3,alto
Santo Domingo,2025,22,40,28.4,149.8,alto
Santo Domingo,2025,23,43,26.9,146.8,alto
Santo Domingo,2025,24,39,27.2,105.3,alto
Sucumbios,2025,1,16,28.8,160.1,alto
Sucumbios,2025,2,24,30.5,205.7,alto
Sucumbios,2025,3,27,29.7,208.8,alto
Sucumbios,2025,4,32,28,239.9,alto
Sucumbios,2025,5,48,27.1,269.5,alto
Sucumbios,2025,6,65,28.5,268.2,alto
Sucumbios,2025,7,60,30.1,306.5,alto
Sucumbios,2025,8,79,29.5,305.1,alto
Sucumbios,2025,9,64,28.3,334.4,alto
Sucumbios,2025,10,70,28.2,315.2,alto
Sucumbios,2025,11,85,30.9,368.2,alto
Sucumbios,2025,12,122,30,364,alto
Sucumbios,2025,13,149,27.2,373.5,alto
Sucumbios,2025,14,115,28.1,367.5,alto
Sucumbios,2025,15,124,30.5,366.8,alto
Sucumbios,2025,16,134,28,342.3,alto
Sucumbios,2025,17,98,30.3,315,alto
Sucumbios,2025,18,131,27,305.8,alto
Sucumbios,2025,19,106,27.8,285.8,alto
Sucumbios,2025,20,133,30.4,275.9,alto
Sucumbios,2025,21,42,25.4,247.4,medio
Sucumbios,2025,22,45,24.6,221.2,medio
Sucumbios,2025,23,47,26.5,218.6,alto
Sucumbios,2025,24,33,24.8,210.6,medio
Tungurahua,2025,1,6,19.9,69.1,bajo
Tungurahua,2025,2,10,19.1,52.2,bajo
Tungurahua,2025,3,10,20.6,87.6,bajo
Tungurahua,2025,4,14,18.1,96,bajo
Tungurahua,2025,5,20,17.2,98,medio
Tungurahua,2025,6,19,19.7,114.3,bajo
Tungurahua,2025,7,16,19.2,115.7,bajo
Tungurahua,2025,8,30,17.3,122.9,medio
Tungurahua,2025,9,26,19.7,156.4,medio
Tungurahua,2025,10,21,20.2,137.2,medio
Tungurahua,2025,11,29,20.3,136,medio
Tungurahua,2025,12,36,17.7,173.5,medio
Tungurahua,2025,13,52,18.1,170.5,alto
Tungurahua,2025,14,63,19.2,148,alto
Tungurahua,2025,15,48,18.6,126.6,medio
Tungurahua,2025,16,51,18,127.3,alto
Tungurahua,2025,17,52,19,121,alto
Tungurahua,2025,18,36,19.4,128.5,medio
Tungurahua,2025,19,45,20.7,120.9,medio
Tungurahua,2025,20,32,20.7,119,medio
Tungurahua,2025,21,18,14.1,93.7,bajo
Tungurahua,2025,22,22,16.4,116.2,medio
Tungurahua,2025,23,21,14.4,107.3,medio
Tungurahua,2025,24,19,17.7,88,bajo
Zamora Chinchipe,2025,1,15,28.5,185.6,alto
Zamora Chinchipe,2025,2,29,30.5,217.3,alto
Zamora Chinchipe,2025,3,23,29.9,206.5,alto
Zamora Chinchipe,2025,4,35,28.4,223.8,alto
Zamora Chinchipe,2025,5,36,27.7,239.5,alto
Zamora Chinchipe,2025,6,62,29.4,274.3,alto
Zamora Chinchipe,2025,7,70,27.2,298.8,alto
Zamora Chinchipe,2025,8,67,30.8,333.4,alto
Zamora Chinchipe,2025,9,68,29.8,348.8,alto
Zamora Chinchipe,2025,10,91,29.9,315.8,alto
Zamora Chinchipe,2025,11,77,28.8,354.8,alto
Zamora Chinchipe,2025,12,75,28.1,336.8,alto
Zamora Chinchipe,2025,13,124,29.6,332.4,alto
Zamora Chinchipe,2025,14,118,30.8,362.5,alto
Zamora Chinchipe,2025,15,158,29.4,347.9,alto
Zamora Chinchipe,2025,16,118,27.1,359.5,alto
Zamora Chinchipe,2025,17,114,29.6,318.3,alto
Zamora Chinchipe,2025,18,98,30.6,295.2,alto
Zamora Chinchipe,2025,19,104,27.6,311.3,alto
Zamora Chinchipe,2025,20,87,30.4,287.6,alto
Zamora Chinchipe,2025,21,35,25.6,245.1,medio
Zamora Chinchipe,2025,22,49,25,255.1,medio
Zamora Chinchipe,2025,23,34,27.1,238.6,alto
